id,zhTW,grade
2163,聖恩權杖,擴
2164,聖水禮杖,擴
2165,符文權杖,擴
2166,鬥棍,擴
2167,墓地魔杖,擴
2168,古墓魔杖,擴
2169,石木魔杖,擴
2170,焦木魔杖,擴
2171,上古斧,擴
2172,哥德斧,擴
2173,長戰斧,擴
2174,鉤斧,擴
2175,軍斧,擴
2176,那伽斧,擴
2177,鴉嘴鎬,擴
21778,傑瑞德之石,普
21779,庫拉斯特盾,精
2178,雙面斧,擴
21780,斧手,普
2179,斬斧,擴
2180,短斧,擴
2181,哥德劍,擴
