LevelGroupId	ParentLevelGroupId	CompleteThreshold	Effect	*Name	NameString
Act 5 - Glacial Trail	Act 5	100		Glacial Trail	Crystalized Cavern Level 2
Act 5 - Drifter Cavern	Act 5	100		Drifter Cavern	Echo Chamber
Act 5 - Frozen Tundra	Act 5	100		Frozen Tundra	Tundra Wastelands
Act 5 - The Ancient's Way	Act 5	100		The Ancients' Way	Glacial Caves Level 1
Act 5 - Icy Cellar	Act 5	100		Icy Cellar	Glacial Caves Level 2
Act 5 - Arreat Summit		100		Arreat Summit	Rocky Summit
Act 5 - Nihlathak's Temple	Act 5	100		Nihlathak's Temple	Nihlathaks Temple
Act 5 - Halls	Act 5	100		Halls	Temple Halls
Act 5 - Abaddon	Act 5	100		Abaddon	Hell1
Act 5 - Pit of Acheron	Act 5	100		Pit of Acheron	Hell2
Act 5 - Infernal Pit	Act 5	100		Infernal Pit	Hell3
Act 5 - Worldstone Keep	Act 5	100		The Worldstone Keep	The Worldstone Keep
Act 5 - Throne of Destruction	Act 5	100		Throne of Destruction	Throne of Destruction
Act 5 - Worldstone Chamber	Act 5	100		The Worldstone Chamber	The Worldstone Chamber
Act 5 - Matron's Den		100		Matron's Den	Pandemonium Run 1
Act 5 - Forgotten Sands		100		Forgotten Sands	Pandemonium Run 2
Act 5 - Furnace of Pain		100		Furnace of Pain	Pandemonium Run 3
Act 5 - Tristram		100		Tristram	Tristram
Act 5 - Colossal Summit		100		ColossalSummit	ColossalSummit
