Name	Id	*StringName	GroupName
Act 3 - Forgotten Reliquary	60	Forgotten Reliquary	act3 1 LG
Act 3 - Forgotten Temple	61	Forgotten Temple	act3 1 LG
Act 3 - Ruined Fane	62	Ruined Fane	act3 1 LG
Act 3 - Disused Reliquary	63	Disused Reliquary	act3 1 LG
Act 3 - Durance of Hate	64	Durance of Hate	act3 1 LG
Act 4 - Town	65	The Pandemonium Fortress	act4 1 LG
Act 4 - Outer Steppes	66	Outer Steppes	act4 1 LG
Act 4 - Plains of Despair	67	Plains of Despair	act4 1 LG
Act 4 - City of the Damned	68	City of the Damned	act4 1 LG
Act 4 - River of Flame	69	River of Flame	act4 1 LG
Act 4 - Chaos Sanctuary	70	The Chaos Sanctuary	act4 1 LG
Expansion			
Act 5 - Town	71	Harrogath	act5 1 LG
Act 5 - Bloody Foothills	72	Bloody Foothills	act5 1 LG
Act 5 - Frigid Highlands	73	Frigid Highlands	act5 1 LG
Act 5 - Arreat Plateau	74	Arreat Plateau	act5 1 LG
Act 5 - Crystalline Passage	75	Crystalline Passage	act5 1 LG
Act 5 - Frozen River	76	Frozen River	act5 1 LG
Act 5 - Glacial Trail	77	Glacial Trail	act5 1 LG
Act 5 - Drifter Cavern	78	Drifter Cavern	act5 1 LG
Act 5 - Frozen Tundra	79	Frozen Tundra	act5 1 LG
Act 5 - The Ancient's Way	80	The Ancients' Way	act5 1 LG
Act 5 - Icy Cellar	81	Icy Cellar	act5 1 LG
Act 5 - Arreat Summit	82	Arreat Summit	act5 1 LG
Act 5 - Nihlathak's Temple	83	Nihlathak's Temple	act5 1 LG
Act 5 - Halls	84	Halls	act5 1 LG
Act 5 - Abaddon	85	Abaddon	act5 1 LG
Act 5 - Pit of Acheron	86	Pit of Acheron	act5 1 LG
Act 5 - Infernal Pit	87	Infernal Pit	act5 1 LG
Act 5 - Worldstone Keep	88	The Worldstone Keep	act5 1 LG
Act 5 - Throne of Destruction	89	Throne of Destruction	act5 1 LG
Act 5 - Worldstone Chamber	90	The Worldstone Chamber	act5 1 LG
Act 5 - Matron's Den	91	Matron's Den	act5 1 LG
Act 5 - Forgotten Sands	92	Forgotten Sands	act5 1 LG
Act 5 - Furnace of Pain	93	Furnace of Pain	act5 1 LG
Act 5 - Tristram	94	Tristram	act5 1 LG
