Name	Id	*StringName	GroupName
Act 5 - Drifter Cavern	78	Drifter Cavern	act5 Echo Chamber TZ
Act 5 - Frozen Tundra	79	Frozen Tundra	act5 Tundra Wastelands TZ
Act 5 - The Ancient's Way	80	The Ancients' Way	act5 Glacial Caves Level 1 TZ
Act 5 - Icy Cellar	81	Icy Cellar	act5 Glacial Caves Level 2 TZ
Act 5 - Arreat Summit	82	Arreat Summit	act5 Rocky Summit TZ
Act 5 - Nihlathak's Temple	83	Nihlathak's Temple	act5 Nihlathaks Temple TZ
Act 5 - Halls	84	Halls	act5 Temple Halls TZ
Act 5 - Abaddon	85	Abaddon	act5 Hell1 TZ
Act 5 - Pit of Acheron	86	Pit of Acheron	act5 Hell2 TZ
Act 5 - Infernal Pit	87	Infernal Pit	act5 Hell3 TZ
Act 5 - Worldstone Keep	88	The Worldstone Keep	act5 The Worldstone Keep TZ
Act 5 - Throne of Destruction	89	Throne of Destruction	act5 Throne of Destruction TZ
Act 5 - Worldstone Chamber	90	The Worldstone Chamber	act5 The Worldstone Chamber TZ
Act 5 - Matron's Den	91	Matron's Den	act5 Pandemonium Run 1 TZ
Act 5 - Forgotten Sands	92	Forgotten Sands	act5 Pandemonium Run 2 TZ
Act 5 - Furnace of Pain	93	Furnace of Pain	act5 Pandemonium Run 3 TZ
Act 5 - Tristram	94	Tristram	act5 Tristram TZ
