id	Key	enUS	zhTW
4785	skillname103	Thorns	荊棘
4789	skillname104	Defiance	反抗
4793	skillname105	Resist Cold	抗寒
4797	skillname106	Zeal	熱忱打擊
4801	skillname107	Charge	衝鋒打擊
4805	skillname108	Blessed Aim	精準祝福
4809	skillname109	Cleansing	淨化
4813	skillname110	Resist Lightning	抗電
4817	skillname111	Vengeance	復仇打擊
4821	skillname112	Blessed Hammer	祝福之鎚
4825	skillname113	Concentration	專注
4829	skillname114	Holy Freeze	神聖冰凍
4833	skillname115	Vigor	活力
4837	skillname116	Conversion	招降打擊
4841	skillname117	Holy Shield	神聖之盾
4845	skillname118	Holy Shock	神聖電擊
4849	skillname119	Sanctuary	庇護
4853	skillname120	Meditation	冥想
4857	skillname121	Fist of the Heavens	天堂之拳
4861	skillname122	Fanaticism	狂熱
4865	skillname123	Conviction	信念
4869	skillname124	Redemption	救贖
4873	skillname125	Salvation	聖護
4877	skillname126	Bash	猛擊
4881	skillname127	Blade Mastery	利刃專精
4885	skillname128	Axe Mastery	斧術專精
4889	skillname129	Mace Mastery	釘鎚專精
4893	skillname130	Howl	狂嗥
4897	skillname131	Find Potion	尋找藥水
4901	skillname132	Leap	跳躍
4905	skillname133	Double Swing	雙手揮擊
4909	skillname134	Polearm Mastery	長武專精
4913	skillname135	Throwing Mastery	投擲專精
4917	skillname136	Spear Mastery	長矛專精
4921	skillname137	Taunt	嘲諷
4925	skillname138	Shout	大吼
4929	skillname139	Stun	擊昏
4933	skillname140	Double Throw	雙手投擲
4937	skillname141	Increased Stamina	提高精力
4941	skillname142	Find Item	尋找物品
4945	skillname143	Leap Attack	躍擊
4949	skillname144	Concentrate	專注打擊
4953	skillname145	Iron Skin	鋼鐵之膚
4957	skillname146	Battle Cry	戰鬥怒吼
4961	skillname147	Frenzy	狂亂連擊
4965	skillname148	Increased Speed	提高速度
4969	skillname149	Battle Orders	戰鬥命令
4973	skillname150	Grim Ward	恐怖圖騰
4977	skillname151	Whirlwind	旋風斬
4981	skillname152	Berserk	狂暴之擊
4985	skillname153	Natural Resistance	自然抵抗
4989	skillname154	War Cry	戰爭狂嘯
4993	skillname155	Battle Command	戰鬥指揮
10997	Skillname224	Werewolf	狼人變化
22038	Skillname222	Raven	掠鴉
22042	Skillname223	Poison Creeper	劇毒藤蔓
22050	Skillname225	Lycanthropy	變形術
22054	Skillname226	Firestorm	火焰風暴
22058	Skillname227	Oak Sage	橡木智者
22062	Skillname228	Summon Spirit Wolf	召喚幽靈狼
22066	Skillname229	Werebear	熊人變化
22070	Skillname230	Molten Boulder	熔火巨石
22074	Skillname231	Arctic Blast	極地寒風
22078	Skillname232	Carrion Vine	食屍藤蔓
22082	Skillname233	Feral Rage	野性狂暴
22086	Skillname234	Maul	槌擊
22090	Skillname235	Fissure	裂地之火
22094	Skillname236	Cyclone Armor	氣旋護甲
22098	Skillname237	Heart of Wolverine	狼獾之心
22102	Skillname238	Summon Dire Wolf	召喚恐狼
22106	Skillname239	Rabies	狂犬撕咬
22110	Skillname240	Fire Claws	烈焰爪擊
22114	Skillname241	Twister	旋風術
22118	Skillname242	Solar Creeper	太陽藤蔓
22122	Skillname243	Hunger	飢餓噬咬
22126	Skillname244	Shock Wave	震波衝擊
22130	Skillname245	Volcano	火山噴發
22134	Skillname246	Tornado	龍捲風
22138	Skillname247	Spirit of Barbs	荊棘之靈
22142	Skillname248	Summon Grizzly	召喚灰熊
22146	Skillname249	Fury	狂怒連擊
22150	Skillname250	Armageddon	毀天滅地
22154	Skillname251	Hurricane	颶風術
22158	Skillname252	Fire Blast	火焰轟擊
22162	Skillname253	Claw Mastery	利爪專精
22166	Skillname254	Psychic Hammer	心靈之鎚
22170	Skillname255	Tiger Strike	猛虎擊
22174	Skillname256	Dragon Talon	龍爪踢
22178	Skillname257	Shock Web	雷電網
22182	Skillname258	Blade Sentinel	戒衛旋刃
22186	Skillname259	Burst of Speed	速度爆發
22190	Skillname260	Fists of Fire	烈火拳
22194	Skillname261	Dragon Claw	雙龍爪
22198	Skillname262	Charged Bolt Sentry	電能衛哨
22202	Skillname263	Wake of Fire	焰痕衛哨
22206	Skillname264	Weapon Block	武器格擋
22210	Skillname265	Cloak of Shadows	魔影斗蓬
22214	Skillname266	Cobra Strike	靈蛇擊
22218	Skillname267	Blade Fury	狂怒旋刃
22222	Skillname268	Fade	影散
22226	Skillname269	Shadow Warrior	暗影戰士
22230	Skillname270	Claws of Thunder	雷電爪
22234	Skillname271	Dragon Tail	龍擺尾
22238	Skillname272	Lightning Sentry	雷光衛哨
22242	Skillname273	Wake of Inferno	獄火衛哨
22246	Skillname274	Mind Blast	心靈震爆
22250	Skillname275	Blades of Ice	寒冰刃
22254	Skillname276	Dragon Flight	翔龍腳
22258	Skillname277	Death Sentry	死亡衛哨
22262	Skillname278	Blade Shield	利刃之盾
22266	Skillname279	Venom	淬毒
22270	Skillname280	Shadow Master	暗影宗師
22274	Skillname281	Phoenix Strike	鳳凰擊
27369	SkillnameMetamorphosisBear	Mark of the Bear	熊之印記
27370	SkillnameMetamorphosisWolf	Mark of the Wolf	狼之印記
27400	MiasmaBoltName	Miasma Bolt	瘴氣彈
27404	LethargySigilName	Sigil: Lethargy	咒印：昏沉
27408	RingOfFireName	Ring of Fire	火焰之環
27412	RancorSigilName	Sigil: Rancor	咒印：冤仇
27416	EnhancedEntropyName	Enhanced Entropy	增強混亂
27420	FlameWaveName	Flame Wave	烈焰湧浪
27424	MiasmaChainName	Miasma Chain	瘴氣鎖鏈
27428	DeathSigilName	Sigil: Death	咒印：死亡
27432	ApocalypseName	Apocalypse	天啟末日
27436	AbyssName	Abyss	深淵裂口
27440	LevitateName	Levitation Mastery	懸浮精通
27444	PsychicWardName	Psychic Ward	靈能護盾
27448	BaneHexName	Hex: Bane	邪咒：災禍
27452	SiphonHexName	Hex: Siphon	邪咒：虹吸
27456	EldritchBlastName	Eldritch Blast	邪異轟擊
27460	EchoingStrikeName	Echoing Strike	迴響打擊
27464	PurgeHexName	Hex: Purge	邪咒：消滅
27468	BladeWarpName	Blade Warp	飛刃躍傳
27472	CleaveName	Cleave	斬劈
27476	MirroredBladesName	Mirrored Blades	鏡像之刃
27480	SummonGoatmanName	Summon Goatman	召喚羊頭人
27484	DemonicMasteryName	Demonic Mastery	惡魔專精
27488	DeathMarkName	Death Mark	死亡印記
27492	SummonTaintedName	Summon Tainted	召喚魔汙怪
27496	SummonDefilerName	Summon Defiler	召喚褻瀆者
27500	BloodOathName	Blood Oath	血誓
27504	EngorgeName	Engorge	吞食
27508	BloodBoilName	Blood Boil	沸血術
27512	ConsumeName	Consume	吞噬
27516	BindDemonName	Bind Demon	束縛惡魔
