id	old	new
39	我不太瞭解凱恩這個人。他看起來像藏了很多秘密...讓我有點不安。	我不太瞭解凱恩這個人。他看起來像藏了很多秘密…讓我有點不安。
40	噢，卡夏是個了不起的人。雖然她對外面來的人比較嚴苛，但是誰能怪她？她只是想要保護姐妹會而己。但是現在眾多姐妹反過來對付我們...我想這讓她的內心變得更堅決了。	噢，卡夏是個了不起的人。雖然她對外面來的人比較嚴苛，但是誰能怪她？她只是想要保護姐妹會而己。但是現在眾多姐妹反過來對付我們…我想這讓她的內心變得更堅決了。
45	"夥伴，你好啊！我是基德，在這個乏人問津的營地裡面，我敢保證我會是你最好的朋友。
 
假如你有多餘的武器、一些金幣、小小的寶石，都可以來找我交換執行任務時不可或缺的裝備。
 
來、來、來...別害羞，所有商品都是終身品質保證，而且還附兩天的保固！"	"夥伴，你好啊！我是基德，在這個乏人問津的營地裡面，我敢保證我會是你最好的朋友。
 
假如你有多餘的武器、一些金幣、小小的寶石，都可以來找我交換執行任務時不可或缺的裝備。
 
來、來、來…別害羞，所有商品都是終身品質保證，而且還附兩天的保固！"
46	"死靈法師！希望我再也不要看見你這種人...最近這附近的麻煩把什麼樣的人都引來了。只是話說回來，你的錢一樣好用...
 
假如你有多餘的武器、一些金幣、小小的寶石，都可以來找我交換執行任務時不可或缺的裝備。
 
來、來、來...別害羞，所有商品都是終身品質保證，而且還附兩天的保固！
"	"死靈法師！希望我再也不要看見你這種人…最近這附近的麻煩把什麼樣的人都引來了。只是話說回來，你的錢一樣好用…
 
假如你有多餘的武器、一些金幣、小小的寶石，都可以來找我交換執行任務時不可或缺的裝備。
 
來、來、來…別害羞，所有商品都是終身品質保證，而且還附兩天的保固！
"
50	"恰西是個好女孩...可是她不懂怎樣做生意！我知道她技術很好，但是她幫武器和護甲定的價碼根本賺不到幾個錢。

只要我一直往她的腦袋灌輸一大堆冒險故事，她就永遠都不會發現我的荷包賺得多滿！"	"恰西是個好女孩…可是她不懂怎樣做生意！我知道她技術很好，但是她幫武器和護甲定的價碼根本賺不到幾個錢。

只要我一直往她的腦袋灌輸一大堆冒險故事，她就永遠都不會發現我的荷包賺得多滿！"
51	"瓦瑞夫很好心，讓我跟著他的商隊旅行，但是別讓他把你扯進尋找新東方商路的事情裡。
 
我現在在這裡賺錢...目標當然是那些俠盜！至於你，我一定給你最好的價錢！"	"瓦瑞夫很好心，讓我跟著他的商隊旅行，但是別讓他把你扯進尋找新東方商路的事情裡。
 
我現在在這裡賺錢…目標當然是那些俠盜！至於你，我一定給你最好的價錢！"
53	假如...我有一天到了魯高因，我一定要來一大碗納蘭德菸草，抽到全身輕飄飄，感覺不到塵世煩惱為止。	假如…我有一天到了魯高因，我一定要來一大碗納蘭德菸草，抽到全身輕飄飄，感覺不到塵世煩惱為止。
55	精通技能要花上不少時間...時常使用它們來磨練你的技巧。選擇新技能時，務必要謹慎。	精通技能要花上不少時間…時常使用它們來磨練你的技巧。選擇新技能時，務必要謹慎。
56	你會從殺死的惡魔身上獲得一些神秘物品。有些十分有用...有些則會帶來危險！把物品帶來給我，我會揭開它們的秘密。	你會從殺死的惡魔身上獲得一些神秘物品。有些十分有用…有些則會帶來危險！把物品帶來給我，我會揭開它們的秘密。
57	"我有沒有和你說過赫拉迪姆的事？那是魔法派系建立的古老同盟，試圖找出永遠囚禁三大罪惡之源的方式。現在赫拉迪姆幾乎被世人遺忘...而囚禁罪惡之源的束縛也不斷減弱！

身為最後的赫拉迪姆傳人，我祈禱我能夠幫助你，來彌補他們的失敗。"	"我有沒有和你說過赫拉迪姆的事？那是魔法派系建立的古老同盟，試圖找出永遠囚禁三大罪惡之源的方式。現在赫拉迪姆幾乎被世人遺忘…而囚禁罪惡之源的束縛也不斷減弱！

身為最後的赫拉迪姆傳人，我祈禱我能夠幫助你，來彌補他們的失敗。"
75	"猶豫不決的人...都有一個好理由。
"	"猶豫不決的人…都有一個好理由。
"
78	你真的很勇敢，而且技巧精湛...阿卡拉很擔心你。	你真的很勇敢，而且技巧精湛…阿卡拉很擔心你。
80	...殺不了你的，只會讓你更強。	…殺不了你的，只會讓你更強。
84	抱歉...那些不死怪物害我都快沒生意了。貨物既出，概不退換。	抱歉…那些不死怪物害我都快沒生意了。貨物既出，概不退換。
85	血鴉曾經在崔斯特姆的地下墓穴中，英勇的對抗迪亞布羅...之後她整個人就變了。顯然她把邪惡的影響也帶回來了。	血鴉曾經在崔斯特姆的地下墓穴中，英勇的對抗迪亞布羅…之後她整個人就變了。顯然她把邪惡的影響也帶回來了。
86	"嗯...

要怎麼殺死已經死掉的人？ "	"嗯…

要怎麼殺死已經死掉的人？ "
89	"在安達莉爾突襲我們之前，阿卡拉就已經覺得事情不太對勁。她擔心血鴉在崔斯特姆底下受到某種邪惡的影響。
 
真希望當時我們有做點什麼..."	"在安達莉爾突襲我們之前，阿卡拉就已經覺得事情不太對勁。她擔心血鴉在崔斯特姆底下受到某種邪惡的影響。
 
真希望當時我們有做點什麼…"
92	"我不敢相信你居然殺死了血鴉！

雖然她以前是我最親密的朋友，我還是要祈禱她受盡折磨的靈魂受到永遠的放逐。

陌生人，你贏得了我的敬意...還有俠盜的忠誠。我派了幾位最厲害的戰士任你差遣。"	"我不敢相信你居然殺死了血鴉！

雖然她以前是我最親密的朋友，我還是要祈禱她受盡折磨的靈魂受到永遠的放逐。

陌生人，你贏得了我的敬意…還有俠盜的忠誠。我派了幾位最厲害的戰士任你差遣。"
97	"顯然，我們面對的這股邪惡力量難以捉摸也難以抗衡。

現在只剩下一位精通神秘歷史和知識的赫拉迪姆賢者，能夠給我們建議...他的名字是迪卡‧凱恩。

朋友，你必須去崔斯特姆找到他。我祈禱他安然無恙。"	"顯然，我們面對的這股邪惡力量難以捉摸也難以抗衡。

現在只剩下一位精通神秘歷史和知識的赫拉迪姆賢者，能夠給我們建議…他的名字是迪卡‧凱恩。

朋友，你必須去崔斯特姆找到他。我祈禱他安然無恙。"
98	"艾尼弗斯的樹皮上有神秘的符文。

阿卡拉可以翻譯它們...讓我們有機會復仇！"	"艾尼弗斯的樹皮上有神秘的符文。

阿卡拉可以翻譯它們…讓我們有機會復仇！"
99	"步行前往崔斯特姆太慢了...等你走到那裡，凱恩可能已經死了。有一個魔法傳送門可以讓你瞬間抵達那個地方。

要啟動傳送門，必須站在石陣之中，然後以特定順序觸碰石柱。符文的順序就刻在艾尼弗斯之樹的樹皮上面。
 
找到神聖的艾尼弗斯之樹，把樹皮帶回來。我會幫你們解讀這些符文，以啟動石陣的神秘力量。"	"步行前往崔斯特姆太慢了…等你走到那裡，凱恩可能已經死了。有一個魔法傳送門可以讓你瞬間抵達那個地方。

要啟動傳送門，必須站在石陣之中，然後以特定順序觸碰石柱。符文的順序就刻在艾尼弗斯之樹的樹皮上面。
 
找到神聖的艾尼弗斯之樹，把樹皮帶回來。我會幫你們解讀這些符文，以啟動石陣的神秘力量。"
107	努力追尋卻一無所獲的人，必須聽從內心的指引...或是再加把勁！	努力追尋卻一無所獲的人，必須聽從內心的指引…或是再加把勁！
110	喂，朋友...我這裡是有很多奇怪的東西沒錯，但是我不賣樹皮，懂嗎？	喂，朋友…我這裡是有很多奇怪的東西沒錯，但是我不賣樹皮，懂嗎？
115	聽說崔斯特姆現在就像是...野蠻人婚禮之後的宴會廳！我會在這裡等你光榮回來。	聽說崔斯特姆現在就像是…野蠻人婚禮之後的宴會廳！我會在這裡等你光榮回來。
120	啊，凱恩回來了...又多一個顧客。自從遇見那個為愛痴狂、放浪不羈的女子之後，我很久沒這麼開心了。	啊，凱恩回來了…又多一個顧客。自從遇見那個為愛痴狂、放浪不羈的女子之後，我很久沒這麼開心了。
124	...朋友，我十分感激你救我一命。	…朋友，我十分感激你救我一命。
125	噢...保佑俠盜！他們終於把我從那個受詛咒的地方救出來了！	噢…保佑俠盜！他們終於把我從那個受詛咒的地方救出來了！
126	"我很遺憾，對於崔斯特姆被毀滅，我無能為力。看來我們心中最深沉的恐懼已經成真，也就是恐懼之王迪亞布羅，再次肆虐人世了！

如你所知，迪亞布羅之前在崔斯特姆地底被消滅了。當我們的英雄在城鎮底下的迷宮獲勝後，我們在城鎮中舉行了為期數天的盛大慶典。

可是幾個星期之後，這位英雄變得越來越冷漠，開始跟其他鎮民保持距離，就像是陷入深沉黑暗、揮之不去的沮喪一樣。我當時還以為那只是因為他無法把受過的痛苦拋諸腦後所造成的。

隨著時間慢慢過去，英雄所受到的折磨也與日俱增。我記得他好幾次在黑夜中驚醒、嘶聲大叫，而且每次都提到「東方」。

有一天，他就這樣離開了。過沒多久，崔斯特姆就遭受大群邪惡的惡魔攻擊。很多人都死了，惡魔還把我關在那受詛咒的牢籠中等死。

我認為，在修道院落入惡魔手中之前出現的那個黑暗流浪者，就是之前那位崔斯特姆的英雄。

朋友，我很擔心...恐怕迪亞布羅已經附身在那個企圖消滅他的英雄身上。如果這是真的，迪亞布羅會變得比之前更強大。

你不阻止他的話，世界便會滅亡。"	"我很遺憾，對於崔斯特姆被毀滅，我無能為力。看來我們心中最深沉的恐懼已經成真，也就是恐懼之王迪亞布羅，再次肆虐人世了！

如你所知，迪亞布羅之前在崔斯特姆地底被消滅了。當我們的英雄在城鎮底下的迷宮獲勝後，我們在城鎮中舉行了為期數天的盛大慶典。

可是幾個星期之後，這位英雄變得越來越冷漠，開始跟其他鎮民保持距離，就像是陷入深沉黑暗、揮之不去的沮喪一樣。我當時還以為那只是因為他無法把受過的痛苦拋諸腦後所造成的。

隨著時間慢慢過去，英雄所受到的折磨也與日俱增。我記得他好幾次在黑夜中驚醒、嘶聲大叫，而且每次都提到「東方」。

有一天，他就這樣離開了。過沒多久，崔斯特姆就遭受大群邪惡的惡魔攻擊。很多人都死了，惡魔還把我關在那受詛咒的牢籠中等死。

我認為，在修道院落入惡魔手中之前出現的那個黑暗流浪者，就是之前那位崔斯特姆的英雄。

朋友，我很擔心…恐怕迪亞布羅已經附身在那個企圖消滅他的英雄身上。如果這是真的，迪亞布羅會變得比之前更強大。

你不阻止他的話，世界便會滅亡。"
127	"...那位女伯爵曾經以上百名年輕處女的鮮血入浴，最後的下場是被人活埋...她的城堡在發生過這麼多殘忍暴行之後，很快就變成了廢墟。最後只剩下一座孤塔聳立於重重地牢之上，座落於陰森淒涼的荒野之中，猶如某種邪惡的紀念碑。

據說女伯爵的財富被教士們所瓜分，不過有人認為還有更多財寶尚未被找到，依然靜靜地埋藏在腐朽的骷髏身邊，這些骸骨無聲見證著人類的殘忍行為。"	"…那位女伯爵曾經以上百名年輕處女的鮮血入浴，最後的下場是被人活埋…她的城堡在發生過這麼多殘忍暴行之後，很快就變成了廢墟。最後只剩下一座孤塔聳立於重重地牢之上，座落於陰森淒涼的荒野之中，猶如某種邪惡的紀念碑。

據說女伯爵的財富被教士們所瓜分，不過有人認為還有更多財寶尚未被找到，依然靜靜地埋藏在腐朽的骷髏身邊，這些骸骨無聲見證著人類的殘忍行為。"
131	那座塔相當危險。有一首壯闊詩歌是這樣描述它的...你所能承受的悲傷，在此備受考驗。	那座塔相當危險。有一首壯闊詩歌是這樣描述它的…你所能承受的悲傷，在此備受考驗。
154	你還沒有找到那把鐵鎚...這樣吧，仔細搜索兵營...俠盜的熔爐都在那裡。	你還沒有找到那把鐵鎚…這樣吧，仔細搜索兵營…俠盜的熔爐都在那裡。
167	"為了某種邪惡目的，迪亞布羅向東而行，而唯一的路就是穿過修道院的大門。顯然，迪亞布羅召喚了安達莉爾來阻止追兵。

對安達莉爾而言，她希望能贏得迪亞布羅的恩寵...比較弱小的惡魔總是想在地獄的階級鬥爭中，追求更高的權力和地位！"	"為了某種邪惡目的，迪亞布羅向東而行，而唯一的路就是穿過修道院的大門。顯然，迪亞布羅召喚了安達莉爾來阻止追兵。

對安達莉爾而言，她希望能贏得迪亞布羅的恩寵…比較弱小的惡魔總是想在地獄的階級鬥爭中，追求更高的權力和地位！"
170	"你現在要去找安達莉爾？
 
...我的車輪壞了要馬上修理。要找我的話，我在馬車下面。"	"你現在要去找安達莉爾？
 
…我的車輪壞了要馬上修理。要找我的話，我在馬車下面。"
175	"你碰見惡魔女王了嗎？我聽說她蠻漂亮的...以怨慟女王的標準來看的話啦。
"	"你碰見惡魔女王了嗎？我聽說她蠻漂亮的…以怨慟女王的標準來看的話啦。
"
180	你可能馬上就要動身前往東方了...真高興認識你。如果需要什麼，記得回來找我們。	你可能馬上就要動身前往東方了…真高興認識你。如果需要什麼，記得回來找我們。
181	"安達莉爾的死亡，讓我們有如重獲新生。我們為死去的姐妹哀悼，不過現在我們可以好好過自己的生活了。

外地人，我...可能低估你了。你是真正的英雄，同時也展現了我們姐妹會世代遵循的崇高信念。

朋友...再會了。"	"安達莉爾的死亡，讓我們有如重獲新生。我們為死去的姐妹哀悼，不過現在我們可以好好過自己的生活了。

外地人，我…可能低估你了。你是真正的英雄，同時也展現了我們姐妹會世代遵循的崇高信念。

朋友…再會了。"
184	"這可說是莫大的勝利，不過接下來還要面對更多戰鬥。我會與你同行，盡我所能提供協助...

別忘了...迪亞布羅仍在廣大的沙漠中尋找他的目標。我們必須儘快找出他的目的，否則這場惡夢永遠不會結束。"	"這可說是莫大的勝利，不過接下來還要面對更多戰鬥。我會與你同行，盡我所能提供協助…

別忘了…迪亞布羅仍在廣大的沙漠中尋找他的目標。我們必須儘快找出他的目的，否則這場惡夢永遠不會結束。"
190	"我打賭你一定在好奇，外面的沙漠出了這麼多事，為什麼這座城市這麼安全。嗯，我只能說和城裡的守衛沒有關係...他們因為某些原因全都進到皇宮裡了。
 
傑恩雇用我和傭兵來維護這地方的平靜。我們的價碼不低，但我們是這片荒地中最厲害的。"	"我打賭你一定在好奇，外面的沙漠出了這麼多事，為什麼這座城市這麼安全。嗯，我只能說和城裡的守衛沒有關係…他們因為某些原因全都進到皇宮裡了。
 
傑恩雇用我和傭兵來維護這地方的平靜。我們的價碼不低，但我們是這片荒地中最厲害的。"
197	亞特瑪應該是個好女人，但她失去家人以後一定十分孤單。或許我下班之後，該去安慰一下她...	亞特瑪應該是個好女人，但她失去家人以後一定十分孤單。或許我下班之後，該去安慰一下她…
203	"嗯...你看來是個可靠的冒險者。
 
你知道嗎？我以前可是個了不起的盜賊。我帶領著最兇殘的強盜集團，在沙漠裡人人聞風色變！
 
現在，我在這裡經營旅店，再也不想惹上任何麻煩。
 
那些冒險的日子已經過去了。"	"嗯…你看來是個可靠的冒險者。
 
你知道嗎？我以前可是個了不起的盜賊。我帶領著最兇殘的強盜集團，在沙漠裡人人聞風色變！
 
現在，我在這裡經營旅店，再也不想惹上任何麻煩。
 
那些冒險的日子已經過去了。"
204	"啊...你一定是來幫我們城市驅除邪惡的新英雄。在其他情況下，我會很驚訝看到你這樣的人出現在城裡。但最近發生的事...噢，別提了...
 
你知道嗎？我以前可是個了不起的盜賊。我帶領著最兇殘的強盜集團，在沙漠裡人人聞風色變！
 
現在，我在這裡經營旅店，再也不想惹上任何麻煩。
 
那些冒險的日子已經過去了。"	"啊…你一定是來幫我們城市驅除邪惡的新英雄。在其他情況下，我會很驚訝看到你這樣的人出現在城裡。但最近發生的事…噢，別提了…
 
你知道嗎？我以前可是個了不起的盜賊。我帶領著最兇殘的強盜集團，在沙漠裡人人聞風色變！
 
現在，我在這裡經營旅店，再也不想惹上任何麻煩。
 
那些冒險的日子已經過去了。"
205	"你知道，這幾年我失去了不少身體部位，東一隻眼睛、西一條腿的...
 
所以，你知道有什麼法術可以讓它們長回來嗎？嗯...仔細一想，我還是保持現狀就好。"	"你知道，這幾年我失去了不少身體部位，東一隻眼睛、西一條腿的…
 
所以，你知道有什麼法術可以讓它們長回來嗎？嗯…仔細一想，我還是保持現狀就好。"
206	卓格南的故事啊...你得好好聽這位年邁法師說的每一句話。	卓格南的故事啊…你得好好聽這位年邁法師說的每一句話。
209	亞特瑪...是個好女人，她最近一心只想復仇，不過她有充份的理由就是了...	亞特瑪…是個好女人，她最近一心只想復仇，不過她有充份的理由就是了…
214	雷山德是個脾氣暴燥的怪老頭。你最好不要打擾他製造藥水，不然...碰一聲你就被炸到月亮上面去！	雷山德是個脾氣暴燥的怪老頭。你最好不要打擾他製造藥水，不然…碰一聲你就被炸到月亮上面去！
218	這裡原本有很多妓院...我猜是最近的事把那些女的全嚇跑了，或許她們待在傑恩的皇宮比較「安全」。	這裡原本有很多妓院…我猜是最近的事把那些女的全嚇跑了，或許她們待在傑恩的皇宮比較「安全」。
219	艾吉斯那個沙漠老狐狸，個性十分狡猾。好幾年以前，他從我的商隊這裡賺到一小筆錢。我從來沒想過，他居然會這樣...安頓下來。	艾吉斯那個沙漠老狐狸，個性十分狡猾。好幾年以前，他從我的商隊這裡賺到一小筆錢。我從來沒想過，他居然會這樣…安頓下來。
220	傑恩繼承了他父親的能力和智慧。雖然年輕，他卻能靠著智慧和謹慎來統治這裡。要是我們能活下來的話...我想他會是一位好蘇丹。	傑恩繼承了他父親的能力和智慧。雖然年輕，他卻能靠著智慧和謹慎來統治這裡。要是我們能活下來的話…我想他會是一位好蘇丹。
222	邪惡環伺魯高因，你或許是我們最後的希望...	邪惡環伺魯高因，你或許是我們最後的希望…
223	這間酒館的生意一直不錯，直到這場邪惡災難毀了一切。幸運的是，我還有一筆應急的積蓄，不幸的是，我無法拯救我所關心的一切...	這間酒館的生意一直不錯，直到這場邪惡災難毀了一切。幸運的是，我還有一筆應急的積蓄，不幸的是，我無法拯救我所關心的一切…
228	噢，雷山德十分古怪，不過他是個善良的老人。在我...兒子生病時，他給過我一些藥。	噢，雷山德十分古怪，不過他是個善良的老人。在我…兒子生病時，他給過我一些藥。
232	嘿，我聽說你們野蠻人可以同時揮舞兩把武器。我從來沒學過怎麼用兩隻手一起戰鬥...一手拿著劍、一手拿著酒已經是我的極限了。	嘿，我聽說你們野蠻人可以同時揮舞兩把武器。我從來沒學過怎麼用兩隻手一起戰鬥…一手拿著劍、一手拿著酒已經是我的極限了。
233	"當然，我聽到很多事。你知道妓院的那些女人嗎？襲擊開始的時候，她們是唯一可以躲在皇宮裡面的人...

啊...真是不意外。"	"當然，我聽到很多事。你知道妓院的那些女人嗎？襲擊開始的時候，她們是唯一可以躲在皇宮裡面的人…

啊…真是不意外。"
234	我在外面的沙漠裡殺了許多惡魔，他們的攻勢不但沒有慢下來...而且數量還越來越多。	我在外面的沙漠裡殺了許多惡魔，他們的攻勢不但沒有慢下來…而且數量還越來越多。
241	"你好，我是這艘船的船長馬席夫。我在雙子海一帶載客運貨，有時候也會跑到衛斯馬屈的國王港。

不過，我這陣子都沒有出海...因為傑恩下令，要我待在港口因應突發狀況。"	"你好，我是這艘船的船長馬席夫。我在雙子海一帶載客運貨，有時候也會跑到衛斯馬屈的國王港。

不過，我這陣子都沒有出海…因為傑恩下令，要我待在港口因應突發狀況。"
242	"你好，亞馬遜人，我有好幾年沒見到你們了...知道有你這樣強大的戰士在保護城市真好。

我是這艘船的船長馬席夫。我在雙子海一帶載客運貨，有時候也會跑到衛斯馬屈的國王港。

不過，我這陣子都沒有出海...因為傑恩下令，要我待在港口因應突發狀況。"	"你好，亞馬遜人，我有好幾年沒見到你們了…知道有你這樣強大的戰士在保護城市真好。

我是這艘船的船長馬席夫。我在雙子海一帶載客運貨，有時候也會跑到衛斯馬屈的國王港。

不過，我這陣子都沒有出海…因為傑恩下令，要我待在港口因應突發狀況。"
243	"你有沒有聽說庫拉斯特最近的消息？我知道你們亞馬遜人的足跡遍佈各地，你最近去過那裡嗎？

嗯...好吧，希望海港早日開放。我想回到庫拉斯特的家，看看那邊究竟發生什麼事情。"	"你有沒有聽說庫拉斯特最近的消息？我知道你們亞馬遜人的足跡遍佈各地，你最近去過那裡嗎？

嗯…好吧，希望海港早日開放。我想回到庫拉斯特的家，看看那邊究竟發生什麼事情。"
253	"親愛的冒險者，你好，我是魯高因的國王傑恩，歡迎你來到這座美麗的海港城市。知道西方之路再次恢復通行，供商隊自由往來，我非常高興。

前一段時間開始，有一股不明的邪惡勢力不斷在攻擊我們。奇怪的是...這一切都是在一名黑暗流浪者經過此地之後開始的，他正在尋找塔拉夏的古墓。沒有人知道看守巴爾的塔拉夏究竟葬在何處，目前只知道是在沙漠遠方的某處。

最近我的人民都在說，死人從墓地爬出來，可怕生物出沒於月光照映的沙丘。就連我都親眼目睹無法解釋的現象。我已經下令關閉海港，所有商船不得離開，等我確定城市安全之後才能解除禁令。
 
酒館老闆亞特瑪有一個重要任務要委託你，請馬上前往城鎮的另一側找她。

我必須回皇宮了。抱歉無法邀請你入內。目前狀況...實在是一團亂。"	"親愛的冒險者，你好，我是魯高因的國王傑恩，歡迎你來到這座美麗的海港城市。知道西方之路再次恢復通行，供商隊自由往來，我非常高興。

前一段時間開始，有一股不明的邪惡勢力不斷在攻擊我們。奇怪的是…這一切都是在一名黑暗流浪者經過此地之後開始的，他正在尋找塔拉夏的古墓。沒有人知道看守巴爾的塔拉夏究竟葬在何處，目前只知道是在沙漠遠方的某處。

最近我的人民都在說，死人從墓地爬出來，可怕生物出沒於月光照映的沙丘。就連我都親眼目睹無法解釋的現象。我已經下令關閉海港，所有商船不得離開，等我確定城市安全之後才能解除禁令。
 
酒館老闆亞特瑪有一個重要任務要委託你，請馬上前往城鎮的另一側找她。

我必須回皇宮了。抱歉無法邀請你入內。目前狀況…實在是一團亂。"
254	"如果想找魔法商品，可以找卓格南或是雷山德。卓格南是我認識最博學的人，他的魔法和古代知識無可比擬。可憐的雷山德幾乎聽不見了，不過他是值得信賴的藥水鍊金師。

如果想回西方，去找瓦瑞夫，你應該認識他。

我們的法拉是手藝精湛、值得信賴的防具工匠，她還可以幫你治療傷勢。
 
艾吉斯是旅店的老闆，而且也有一些商品可供交易。
 
格雷茲是傭兵的老大，我雇用他來守衛魯高因的大門，並且維持城鎮中的秩序。
 
城裡當然還有其他人。我相信你很快就會見到他們，自己到處逛逛吧..."	"如果想找魔法商品，可以找卓格南或是雷山德。卓格南是我認識最博學的人，他的魔法和古代知識無可比擬。可憐的雷山德幾乎聽不見了，不過他是值得信賴的藥水鍊金師。

如果想回西方，去找瓦瑞夫，你應該認識他。

我們的法拉是手藝精湛、值得信賴的防具工匠，她還可以幫你治療傷勢。
 
艾吉斯是旅店的老闆，而且也有一些商品可供交易。
 
格雷茲是傭兵的老大，我雇用他來守衛魯高因的大門，並且維持城鎮中的秩序。
 
城裡當然還有其他人。我相信你很快就會見到他們，自己到處逛逛吧…"
